,f_fwd,f_bwd,avr_rmse
0,1,1,0.133901055
1,1,2,0.15313342
24,2,1,0.15359579
25,2,2,0.177370307
2,1,3,0.182176595
48,3,1,0.18303818
575,24,24,0.18438527300000002
574,24,23,0.184861181
551,23,24,0.18499215
573,24,22,0.185221757
571,24,20,0.18531814800000002
572,24,21,0.18537255800000002
570,24,19,0.185432613
550,23,23,0.18543664699999998
569,24,18,0.185587091
527,22,24,0.185773451
549,23,22,0.185836647
568,24,17,0.185930591
547,23,20,0.18600237600000002
566,24,15,0.18604710100000002
548,23,21,0.186075573
546,23,19,0.186139942
567,24,16,0.186153822
526,22,23,0.18624732100000002
565,24,14,0.18624927600000002
545,23,18,0.186346481
564,24,13,0.186495032
503,21,24,0.186610033
563,24,12,0.186746755
525,22,22,0.186766404
544,23,17,0.18677127
542,23,15,0.18689963399999998
562,24,11,0.186912658
523,22,20,0.186954977
524,22,21,0.187006482
543,23,16,0.187024976
522,22,19,0.187125505
541,23,14,0.187171447
561,24,10,0.187238397
479,20,24,0.187238961
502,21,23,0.187244761
521,22,18,0.18736171699999998
455,19,24,0.18749475300000001
540,23,13,0.18751557
407,17,24,0.187583224
431,18,24,0.18764038
383,16,24,0.18768021399999998
359,15,24,0.187781554
539,23,12,0.18780793199999998
520,22,17,0.18782103
501,21,22,0.187821181
560,24,9,0.187833875
335,14,24,0.18796751399999997
478,20,23,0.18796912
499,21,20,0.18799564800000002
518,22,15,0.18800948
538,23,11,0.18806146699999998
519,22,16,0.18808693199999998
500,21,21,0.18810338699999998
498,21,19,0.188172648
311,13,24,0.188195279
454,19,23,0.188200533
517,22,14,0.188349358
430,18,23,0.18839334
497,21,18,0.18841672
537,23,10,0.188445644
406,17,23,0.188504295
559,24,8,0.188519842
477,20,22,0.188562772
287,12,24,0.188625388
382,16,23,0.188647879
475,20,20,0.188661735
358,15,23,0.188747076
453,19,22,0.188750262
516,22,13,0.18875445
476,20,21,0.18881211
474,20,19,0.18886130399999998
496,21,17,0.188935961
263,11,24,0.18893691399999998
451,19,20,0.188985165
334,14,23,0.18899174100000002
558,24,7,0.189023885
452,19,21,0.189064237
429,18,22,0.18911128300000002
239,10,24,0.18912753399999999
536,23,9,0.189132081
473,20,18,0.18913211100000002
450,19,19,0.18920841300000002
310,13,23,0.18927198399999998
515,22,12,0.18928728600000003
494,21,15,0.189293596
495,21,16,0.18930449800000002
405,17,22,0.18939619100000002
449,19,18,0.18948533399999998
427,18,20,0.18953683600000001
381,16,22,0.189547028
215,9,24,0.18956719600000002
428,18,21,0.189594368
357,15,22,0.189617924
514,22,11,0.189621827
493,21,14,0.189656598
472,20,17,0.18971767
426,18,19,0.189795823
286,12,23,0.189810046
403,17,20,0.189847915
535,23,8,0.189878469
557,24,6,0.189891103
333,14,22,0.189918084
404,17,21,0.189920322
379,16,20,0.18999034399999998
380,16,21,0.190010205
513,22,10,0.190132616
425,18,18,0.190145595
356,15,21,0.190159637
471,20,16,0.190161141
402,17,19,0.19016645399999998
448,19,17,0.19017379399999998
191,8,24,0.190174347
262,11,23,0.19018881399999998
470,20,15,0.190188818
355,15,20,0.190219109
492,21,13,0.190264305
309,13,22,0.190290474
238,10,23,0.190387401
378,16,19,0.19040021199999999
534,23,7,0.190470776
332,14,21,0.190593197
354,15,19,0.19063937399999997
469,20,14,0.190644554
331,14,20,0.190657915
447,19,16,0.190662721
401,17,18,0.190684253
446,19,15,0.190775737
491,21,12,0.190799126
167,7,24,0.190810998
214,9,23,0.190872209
512,22,9,0.190876013
424,18,17,0.190878255
285,12,22,0.19095859899999998
556,24,5,0.190969942
377,16,18,0.190995661
308,13,21,0.191014097
307,13,20,0.19102028199999999
330,14,19,0.191115405
468,20,13,0.19125406
490,21,11,0.19130510899999997
445,19,14,0.191312874
533,23,6,0.191318065
353,15,18,0.191351458
261,11,22,0.19140105
423,18,16,0.19145028
143,6,24,0.191496857
306,13,19,0.19151000399999998
190,8,23,0.191515792
400,17,17,0.19151912100000001
284,12,21,0.191620254
237,10,22,0.19166451699999998
422,18,15,0.19167369899999998
283,12,20,0.19173564199999998
329,14,18,0.191765771
511,22,8,0.19179387
467,20,12,0.191837585
444,19,13,0.191869345
489,21,10,0.191906532
376,16,17,0.191977586
555,24,4,0.192026248
305,13,18,0.19214229100000002
260,11,21,0.192145641
282,12,19,0.192183506
166,7,23,0.19219284
399,17,16,0.192201709
421,18,14,0.19222156199999998
119,5,24,0.192223531
259,11,20,0.192288782
352,15,17,0.19233089399999997
213,9,22,0.192372828
398,17,15,0.192420638
466,20,11,0.192430485
510,22,7,0.192442132
443,19,12,0.19244487899999999
236,10,21,0.192537472
532,23,5,0.192599352
375,16,16,0.19269502600000002
328,14,17,0.19271453100000002
488,21,9,0.192730226
420,18,13,0.192740827
258,11,19,0.19285902300000002
235,10,20,0.19288308199999998
374,16,15,0.192907162
397,17,14,0.192910926
281,12,18,0.192943991
304,13,17,0.19305222
142,6,23,0.193065452
189,8,22,0.19309299300000002
351,15,16,0.19310579100000003
465,20,10,0.19312039600000003
442,19,11,0.193135523
554,24,3,0.193135787
95,4,24,0.193141415
419,18,12,0.19335930399999998
509,22,6,0.19337905800000002
396,17,13,0.19339155800000002
350,15,15,0.193404245
373,16,14,0.19341029399999998
212,9,21,0.193445891
234,10,19,0.19351602899999998
327,14,16,0.193539467
257,11,18,0.19362496399999998
487,21,8,0.19368456
165,7,22,0.19378573899999998
326,14,15,0.19381721899999999
531,23,4,0.193827462
441,19,10,0.19386395899999997
211,9,20,0.19387153899999998
372,16,13,0.19387601899999998
280,12,17,0.19389218
303,13,16,0.19390233899999998
464,20,9,0.19393838
349,15,14,0.19397465600000002
118,5,23,0.19400355
553,24,2,0.19403944
395,17,12,0.194042258
71,3,24,0.194111714
302,13,15,0.19411993600000002
418,18,11,0.19415643
188,8,21,0.194235121
486,21,7,0.194337223
233,10,18,0.194356136
325,14,14,0.19439110199999998
348,15,13,0.194450806
371,16,12,0.194552749
210,9,19,0.194629684
256,11,17,0.194653219
279,12,16,0.194693101
301,13,14,0.19470858800000002
187,8,20,0.194763617
508,22,5,0.194843202
440,19,9,0.194860867
394,17,11,0.19488885
278,12,15,0.19488947399999998
141,6,22,0.194894221
530,23,3,0.194905688
463,20,8,0.194914775
417,18,10,0.19498030600000002
164,7,21,0.195066331
324,14,13,0.195067469
94,4,23,0.19510673399999998
232,10,17,0.195336989
347,15,12,0.195341972
485,21,6,0.195377968
209,9,18,0.195418683
255,11,16,0.195477498
300,13,13,0.195531724
370,16,11,0.19554940899999998
462,20,7,0.19560935899999998
186,8,19,0.19564294899999998
277,12,14,0.195679359
393,17,10,0.19573121
439,19,8,0.19577998600000002
163,7,20,0.195826627
47,2,24,0.19584967
254,11,15,0.195912823
529,23,2,0.196026162
416,18,9,0.19605101800000002
117,5,22,0.196082045
70,3,23,0.196125125
323,14,12,0.19614464
507,22,4,0.196175367
140,6,21,0.196345745
231,10,16,0.196367773
208,9,17,0.196411227
438,19,7,0.196464771
346,15,11,0.19651537100000002
185,8,18,0.19656901100000002
461,20,6,0.19657049999999998
369,16,10,0.196680795
276,12,13,0.196711777
253,11,14,0.19679653800000002
299,13,12,0.196809172
392,17,9,0.196918697
162,7,19,0.19692787399999997
93,4,22,0.19707625199999998
230,10,15,0.197094445
484,21,5,0.197101823
415,18,8,0.197104427
139,6,20,0.19725247699999998
437,19,6,0.19732859100000003
506,22,3,0.197461878
552,24,1,0.197477522
116,5,21,0.19750588600000002
322,14,11,0.19750975
345,15,10,0.197605718
207,9,16,0.197714317
184,8,17,0.19776145399999998
414,18,7,0.197893672
368,16,9,0.197963792
252,11,13,0.19801228399999998
275,12,12,0.198037779
391,17,8,0.198042355
46,2,23,0.198097932
161,7,18,0.19819117
229,10,14,0.198217917
298,13,11,0.198342486
69,3,22,0.198407738
460,20,5,0.198516374
92,4,21,0.198594095
115,5,20,0.19861261600000002
483,21,4,0.198653012
206,9,15,0.198664879
413,18,6,0.198667416
321,14,10,0.198737103
138,6,19,0.19874387300000002
505,22,2,0.198849783
390,17,7,0.19889579300000002
344,15,9,0.19893012399999999
367,16,8,0.199161737
183,8,16,0.199219838
436,19,5,0.19926871100000002
251,11,12,0.19950522699999998
297,13,10,0.199582583
228,10,13,0.199601792
160,7,17,0.199637242
23,1,24,0.19963875600000003
389,17,6,0.199748685
528,23,1,0.199770497
274,12,11,0.19982757899999998
205,9,14,0.199947658
366,16,7,0.199979049
91,4,20,0.200097828
320,14,9,0.20014803399999997
482,21,3,0.200185996
68,3,21,0.20019422399999998
114,5,19,0.200277006
343,15,8,0.200308851
459,20,4,0.200335607
137,6,18,0.200374508
182,8,15,0.200437045
45,2,22,0.200701176
412,18,5,0.20079558600000003
365,16,6,0.201135659
342,15,7,0.20115558
159,7,16,0.201183478
273,12,10,0.20123494100000003
296,13,9,0.201307698
250,11,11,0.201342728
435,19,4,0.201394535
227,10,12,0.201462942
319,14,8,0.201673945
204,9,13,0.201773027
481,21,2,0.201787518
136,6,17,0.20179404199999998
22,1,23,0.201809792
181,8,14,0.20183662800000002
113,5,18,0.202021495
388,17,5,0.20210832399999998
67,3,20,0.202114743
90,4,19,0.202319224
458,20,3,0.202521415
318,14,7,0.202544418
341,15,6,0.20254703899999998
158,7,15,0.20269084399999998
504,22,1,0.202847988
44,2,21,0.202867314
249,11,10,0.203054116
295,13,8,0.20306613199999998
411,18,4,0.20316214300000002
272,12,9,0.203246738
226,10,11,0.20342094800000002
112,5,17,0.20346046
135,6,16,0.203575175
434,19,3,0.203712497
364,16,5,0.20390496100000002
89,4,18,0.204052526
180,8,13,0.204224395
317,14,6,0.20428828300000001
203,9,12,0.20430135300000002
294,13,7,0.204361691
457,20,2,0.20448765100000002
66,3,19,0.204600069
21,1,22,0.20473583
157,7,14,0.20475804600000003
387,17,4,0.204831268
43,2,20,0.20499752899999998
225,10,10,0.20518487100000002
271,12,8,0.20540056399999998
248,11,9,0.205405725
410,18,3,0.205436035
433,19,2,0.205589717
134,6,15,0.205608281
340,15,5,0.205745867
111,5,16,0.205766743
88,4,17,0.20597487
480,21,1,0.206239317
202,9,11,0.20633417699999998
65,3,18,0.20639633
293,13,6,0.206593186
363,16,4,0.20671998800000002
20,1,21,0.207009467
270,12,7,0.20725569
179,8,12,0.20736336
409,18,2,0.20738258399999998
42,2,19,0.207421067
386,17,3,0.20749893
156,7,13,0.20774516199999998
224,10,9,0.20806535899999998
316,14,5,0.20809962399999998
247,11,8,0.208180035
110,5,15,0.208198773
133,6,14,0.20826540600000001
64,3,17,0.208391512
87,4,16,0.208582679
201,9,10,0.20887534600000002
456,20,1,0.209039975
41,2,18,0.20922739699999998
19,1,20,0.20952452600000002
339,15,4,0.20955452800000002
178,8,11,0.210035445
385,17,2,0.210088649
269,12,6,0.210097185
362,16,3,0.210624695
292,13,5,0.210627061
432,19,1,0.210916043
155,7,12,0.211184092
246,11,7,0.211352773
86,4,15,0.211453974
132,6,13,0.21155659699999999
109,5,14,0.21157526
40,2,17,0.211867495
223,10,8,0.21201441399999998
200,9,9,0.212090503
315,14,4,0.212107976
63,3,16,0.21218938399999998
18,1,19,0.21228613899999998
177,8,10,0.213142415
408,18,1,0.213503705
361,16,2,0.214026291
154,7,11,0.214070562
338,15,3,0.21410336100000002
17,1,18,0.21426256300000002
268,12,5,0.214948695
291,13,4,0.21522903699999998
245,11,6,0.215473474
108,5,13,0.21549530100000003
26,2,3,0.21570629300000002
62,3,15,0.215754449
85,4,14,0.21592780399999997
222,10,7,0.215935932
131,6,12,0.215963529
39,2,16,0.216373443
199,9,8,0.21648302600000002
384,17,1,0.21708597899999998
176,8,9,0.217167883
314,14,3,0.21733826399999998
49,3,2,0.21748618100000003
153,7,10,0.21804067
337,15,2,0.21810422399999999
16,1,17,0.218299401
130,6,11,0.219186173
107,5,12,0.22007777
84,4,13,0.22030841
38,2,15,0.220817601
61,3,14,0.220835791
267,12,4,0.22089051699999998
221,10,6,0.22130548
290,13,3,0.22139823100000003
244,11,5,0.221411183
360,16,1,0.22181079999999997
198,9,7,0.22195625300000002
175,8,8,0.222917488
152,7,9,0.22322044800000002
313,14,2,0.223420724
3,1,4,0.22356456600000002
106,5,11,0.22450180100000003
15,1,16,0.22466825
72,4,1,0.22492078699999998
83,4,12,0.225636685
129,6,10,0.225982291
60,3,13,0.226201577
37,2,14,0.22736000899999997
336,15,1,0.227778211
289,13,2,0.229224646
197,9,6,0.22926680800000002
220,10,5,0.229583409
266,12,3,0.22983764199999998
243,11,4,0.230187753
174,8,7,0.230240157
151,7,8,0.23167211699999998
14,1,15,0.23168331600000003
82,4,11,0.232259892
128,6,9,0.232418555
105,5,10,0.23349669899999997
59,3,12,0.233565054
36,2,13,0.234009653
312,14,1,0.23552862100000002
196,9,5,0.239165825
173,8,6,0.239401635
13,1,14,0.239437603
219,10,4,0.240127952
150,7,7,0.240219595
265,12,2,0.240278725
242,11,3,0.242112885
104,5,9,0.24268267699999999
127,6,8,0.243322167
58,3,11,0.243466992
81,4,10,0.243857806
35,2,12,0.244579209
288,13,1,0.245894437
12,1,13,0.25166186399999996
195,9,4,0.253864191
149,7,6,0.254862604
126,6,7,0.255084698
172,8,5,0.255111672
218,10,3,0.256639664
80,4,9,0.257468217
241,11,2,0.257870085
57,3,10,0.258487866
34,2,11,0.259153715
103,5,8,0.259486173
264,12,1,0.263026463
11,1,12,0.267385356
171,8,4,0.275296495
194,9,3,0.278517102
217,10,2,0.279115952
148,7,5,0.279846511
125,6,6,0.280517072
102,5,7,0.280741236
73,4,2,0.281851597
56,3,9,0.28186249399999996
50,3,3,0.28256084800000003
27,2,4,0.28338431399999997
33,2,10,0.283768226
79,4,8,0.285343283
240,11,1,0.289875942
10,1,11,0.293909829
96,5,1,0.294993141
4,1,5,0.295686012
170,8,3,0.315935411
193,9,2,0.316829046
147,7,4,0.3182002
101,5,6,0.32062368399999996
124,6,5,0.322689402
78,4,7,0.324809345
32,2,9,0.32569122699999997
216,10,1,0.331632733
55,3,8,0.333096402
9,1,10,0.334792266
100,5,5,0.41131175799999997
169,8,2,0.415128055
146,7,3,0.418755799
192,9,1,0.427176483
54,3,7,0.428281631
77,4,6,0.42973153799999997
31,2,8,0.43713374899999996
74,4,3,0.438233621
97,5,2,0.44028539899999997
8,1,9,0.44179526399999997
28,2,5,0.44563613700000004
51,3,4,0.450078225
5,1,6,0.472374449
123,6,4,0.480157774
120,6,1,0.483739405
30,2,7,1.1209693379999999
99,5,4,1.191132004
145,7,2,1.2285628579999999
7,1,8,1.309572856
122,6,3,1.380374609
76,4,5,1.579429934
121,6,2,1.663715777
98,5,3,1.948804186
52,3,5,2.0040876919999997
29,2,6,2.038014463
53,3,6,2.2386898719999997
168,8,1,2.32813535
144,7,1,2.526371611
6,1,7,2.6861347230000003
75,4,4,3.18950358
